operator,bilibili_campaign_content_count,bilibili_direct_content_count,bilibili_window_content_count,bilibili_campaign_content_types,bilibili_campaign_views,bilibili_weighted_campaign_views,bilibili_weighted_intent_actions,bilibili_campaign_median_views,bilibili_campaign_first_published,bilibili_campaign_last_published,bilibili_campaign_exposure_score,bilibili_campaign_depth_score
新约能天使,18,1,17,6,34875843,31807694.7565,1891852.3453000002,1278548.5,2025-04-26T11:45:00+00:00,2025-05-11T03:01:03+00:00,100.0,96.7741935483871
归溟幽灵鲨,19,1,18,7,36274605,30752093.0636,2107798.3383,1354738.0,2022-04-14T08:30:00+00:00,2022-05-03T03:00:28+00:00,96.7741935483871,100.0
佩佩,8,1,7,5,28300665,25175429.660499997,1557591.0883000002,1445464.0,2024-07-24T04:09:36+00:00,2024-08-02T03:00:00+00:00,93.54838709677419,56.451612903225815
缄默德克萨斯,15,1,14,7,28645455,24245242.9975,1897621.1409,1314376.0,2022-10-23T12:20:29+00:00,2022-11-10T03:00:00+00:00,90.32258064516128,83.87096774193549
缪尔赛思,15,1,14,5,25289278,20973459.3959,1185890.8699,1244638.0,2023-04-16T03:00:00+00:00,2023-05-03T02:52:48+00:00,87.09677419354838,77.41935483870968
纯烬艾雅法拉,9,1,8,6,25210970,20718717.4865,918975.316,1602597.0,2023-07-21T04:00:00+00:00,2023-08-02T03:00:00+00:00,83.87096774193549,64.51612903225806
黍,9,1,8,5,22000246,19788338.614400003,1468835.3011,1225645.0,2024-01-23T09:02:04+00:00,2024-02-10T04:00:46+00:00,80.64516129032258,61.29032258064516
斩业星熊,10,1,9,7,21957475,18009978.7485,1203467.3872,1432545.0,2025-07-21T13:00:00+00:00,2025-08-10T03:00:00+00:00,77.41935483870968,72.58064516129032
凯尔希·思衡托,15,1,14,6,19570318,17733953.931,1214683.7157,813321.0,2026-04-25T11:35:00+00:00,2026-05-03T03:00:00+00:00,74.19354838709677,80.64516129032258
凛御银灰,16,1,15,6,19599523,16945159.2069,918869.75,816604.5,2025-10-25T12:10:00+00:00,2025-11-10T03:03:45+00:00,70.96774193548387,87.09677419354838
丰川祥子,4,1,3,4,17738058,15830828.553100001,1199391.3949,4681276.5,2025-08-28T03:00:00+00:00,2025-09-06T09:38:49+00:00,67.74193548387096,27.419354838709676
予愿安洁莉娜,10,1,9,6,17881769,15671307.5523,1075906.2205,1662841.5,2026-07-18T04:00:00+00:00,2026-08-01T03:00:00+00:00,64.51612903225806,67.74193548387096
Mon3tr,7,1,6,5,16051194,13526593.8694,815119.7596999999,1980124.0,2025-03-27T03:00:00+00:00,2025-04-15T03:01:55+00:00,61.29032258064516,41.935483870967744
荒芜拉普兰德,16,1,15,7,15078380,13140149.6917,755625.9973,703367.0,2024-10-26T12:10:00+00:00,2024-11-11T03:01:44+00:00,58.06451612903226,90.32258064516128
塑心,17,1,16,6,15479846,12848310.9857,807996.306,826136.0,2023-10-20T03:00:00+00:00,2023-11-04T03:00:00+00:00,54.83870967741935,93.54838709677419
赤刃明霄陈,5,1,4,4,13115131,12796282.6842,988966.7068,1596939.0,2026-02-06T11:51:25+00:00,2026-02-08T10:00:49+00:00,51.61290322580645,32.25806451612903
重岳,8,1,7,5,14614072,12435465.6163,741796.0277,1633009.0,2023-01-08T12:10:00+00:00,2023-01-22T03:00:00+00:00,48.38709677419355,56.451612903225815
怒潮凛冬,7,1,6,5,11603570,9976072.3859,567376.7862,1452851.0,2026-03-27T04:00:00+00:00,2026-04-12T03:00:00+00:00,45.16129032258064,41.935483870967744
司霆惊蛰,7,1,6,6,12433364,9816198.683,472345.7623,1567548.0,2025-06-20T09:09:16+00:00,2025-07-15T03:00:37+00:00,41.935483870967744,50.0
余,10,1,9,7,11285087,9578078.1413,508301.3796,1009540.5,2025-01-11T08:40:00+00:00,2025-01-31T03:00:00+00:00,38.70967741935484,72.58064516129032
谬因,7,1,6,6,10379238,8306177.6759,419607.3381,983293.0,2026-06-26T09:00:00+00:00,2026-07-17T03:00:00+00:00,35.483870967741936,50.0
真言,6,1,5,4,8875372,7396867.544,398475.1699,1263799.5,2025-10-04T03:00:00+00:00,2025-10-17T03:00:00+00:00,32.25806451612903,35.483870967741936
酒神,4,1,3,3,7558156,6770042.805,443901.6601,1874624.0,2025-05-30T02:59:39+00:00,2025-06-08T09:00:00+00:00,29.03225806451613,16.129032258064516
焰狐龙梓兰,4,1,3,3,7735527,6761317.0396,431697.4508,1836022.5,2026-05-25T03:00:00+00:00,2026-06-08T09:00:00+00:00,25.806451612903224,16.129032258064516
结城理,3,1,2,2,7695347,6696607.5231,529696.8642,1997088.0,2026-08-28T03:00:00+00:00,2026-09-02T03:00:00+00:00,22.58064516129032,3.225806451612903
缇缇,7,1,6,5,8769341,6643430.905,516840.7511,1062017.0,2025-12-23T12:25:00+00:00,2026-01-11T02:57:53+00:00,19.35483870967742,41.935483870967744
维娜·维多利亚,4,1,3,3,7001136,6415018.2239,413956.7679,1487644.0,2024-10-02T03:03:59+00:00,2024-10-09T11:31:31+00:00,16.129032258064516,16.129032258064516
死芒,4,1,3,4,6632998,5695345.8667,259555.52520000003,1521683.0,2025-03-01T03:00:00+00:00,2025-03-17T03:00:00+00:00,12.903225806451612,27.419354838709676
贝洛内,3,1,2,3,5167314,4803242.0373,195351.0631,1782432.0,2026-03-05T03:01:02+00:00,2026-03-10T02:56:09+00:00,9.67741935483871,6.451612903225806
望,4,1,3,3,5104859,4523919.1779,347483.36730000004,1253927.0,2026-02-09T03:03:33+00:00,2026-02-19T03:00:00+00:00,6.451612903225806,16.129032258064516
娜斯提,4,1,3,3,5009469,4357480.9936999995,201928.92320000002,1090901.5,2025-11-22T03:00:46+00:00,2025-12-05T02:58:55+00:00,3.225806451612903,16.129032258064516
